Year,OutputGap,CPI,InterestRate
2000,2.295130806,3.376857,6.455833
2001,0.267834979,2.826171,3.686667
2002,-0.637699591,1.586032,1.725833
2003,-0.238426399,2.270095,1.150833
2004,1.146052404,2.677237,1.563333
2005,2.272602543,3.392747,3.511667
2006,2.756453045,3.225944,5.153333
2007,2.271264627,2.852673,5.268333
2008,-0.155455533,3.8391,2.965
2009,-4.527551874,-0.3555463,0.5558333
2010,-3.745974076,1.640043,0.3116667
2011,-3.905980824,3.156842,0.3033333
2012,-3.478080455,2.069337,0.2825
2013,-3.429899416,1.464833,0.1666667
2014,-2.833953309,1.622223,0.1241667
2015,-1.851560318,0.1186271,0.2266667
2016,-2.067402972,1.261583,0.6441666
2017,-1.650837311,2.13011,1.1525
2018,-0.656224637,2.442583,2.188333
